route_match_key,complaint_route_label,complaint_count,ghost_bus_count,wrong_eta_count,missing_realtime_count,info_failure_count,physical_failure_count,avg_severity,ghost_bus_percentage,information_failure_percentage,weighted_score
60,60,7,3,0,0,5,7,4.0,42.857,71.429,32.0
8,8,8,1,0,1,4,7,3.875,12.5,50.0,24.812
3,3,6,2,0,0,3,6,4.333,33.333,50.0,24.5
2,2,5,0,2,2,4,4,4.0,0.0,80.0,19.0
490,490,2,2,0,0,2,2,4.0,100.0,100.0,18.0
63,63,2,1,0,1,2,1,4.5,50.0,100.0,15.75
870,870,2,1,1,0,2,1,4.5,50.0,100.0,15.75
69,69,3,1,0,0,1,3,4.333,33.333,33.333,14.5
990,990,2,1,0,0,2,2,3.5,50.0,100.0,14.25
51,51,3,1,0,0,1,3,4.0,33.333,33.333,14.0
719,719,2,1,0,1,2,1,3.0,50.0,100.0,13.5
905,905,1,1,0,0,1,1,5.0,100.0,100.0,13.5
435,435,2,0,1,1,2,2,4.5,0.0,100.0,12.75
19,19,1,1,0,0,1,1,4.0,100.0,100.0,12.0
33,33,1,1,0,0,1,1,4.0,100.0,100.0,12.0
105,105,2,0,1,0,2,1,4.0,0.0,100.0,12.0
791,791,1,1,0,0,1,1,4.0,100.0,100.0,12.0
628,628,1,0,0,0,1,1,5.0,0.0,100.0,10.5
62,62,1,0,0,0,1,1,5.0,0.0,100.0,10.5
B1,B1,1,0,0,0,1,1,5.0,0.0,100.0,10.5
916,916,1,1,0,0,1,1,3.0,100.0,100.0,10.5
339,339,1,0,0,1,1,0,5.0,0.0,100.0,10.5
160,160,1,0,0,0,1,1,5.0,0.0,100.0,10.5
223,223,1,0,0,0,1,1,5.0,0.0,100.0,10.5
32,32,3,0,0,0,0,3,4.667,0.0,0.0,10.0
